Time,y-5,y-4,y-3,y-2,y-1,cum_step,m1,m2,m3
0,43,116,72,93,78,402,0,1,0
1,116,72,93,78,543.8397641,945.8397641,0,0,0
2,72,93,78,543.8397641,235.083835,1180.923599,0,0,0
3,93,78,543.8397641,235.083835,460.5044282,1641.428027,0,0,0
4,78,543.8397641,235.083835,460.5044282,-94.31687285,1547.111155,0,0,0
5,543.8397641,235.083835,460.5044282,-94.31687285,152.9975579,1700.108712,0,0,0
6,235.083835,460.5044282,-94.31687285,152.9975579,446.8226931,2146.931405,0,0,0
7,460.5044282,-94.31687285,152.9975579,446.8226931,239.5038856,2386.435291,0,0,0
8,-94.31687285,152.9975579,446.8226931,239.5038856,438.7483234,2825.183615,0,0,0
9,152.9975579,446.8226931,239.5038856,438.7483234,57.32273688,2882.506351,0,0,0
10,446.8226931,239.5038856,438.7483234,57.32273688,80.60576313,2963.112115,1,0,0
11,239.5038856,438.7483234,57.32273688,80.60576313,179.0573115,3142.169426,0,0,0
12,438.7483234,57.32273688,80.60576313,179.0573115,-208.7156196,2933.453806,0,0,0
13,57.32273688,80.60576313,179.0573115,-208.7156196,292.3703051,3225.824112,0,0,0
14,80.60576313,179.0573115,-208.7156196,292.3703051,-75.69907206,3150.125039,0,0,0
15,179.0573115,-208.7156196,292.3703051,-75.69907206,21.13464313,3171.259683,0,0,0
16,-208.7156196,292.3703051,-75.69907206,21.13464313,158.7911369,3330.050819,0,0,0
17,292.3703051,-75.69907206,21.13464313,158.7911369,-202.7145801,3127.336239,0,0,0
18,-75.69907206,21.13464313,158.7911369,-202.7145801,-31.66216256,3095.674077,0,0,0
19,21.13464313,158.7911369,-202.7145801,-31.66216256,232.980087,3328.654164,0,0,0
20,158.7911369,-202.7145801,-31.66216256,232.980087,12.66392012,3341.318084,0,0,0
21,-202.7145801,-31.66216256,232.980087,12.66392012,145.6979909,3487.016075,0,0,0
22,-31.66216256,232.980087,12.66392012,145.6979909,316.7356869,3803.751762,0,0,0
23,232.980087,12.66392012,145.6979909,316.7356869,94.7180199,3898.469782,0,0,0
24,12.66392012,145.6979909,316.7356869,94.7180199,206.4423389,4104.91212,0,0,0
25,145.6979909,316.7356869,94.7180199,206.4423389,444.4165127,4549.328633,0,0,0
26,316.7356869,94.7180199,206.4423389,444.4165127,-91.43989894,4457.888734,0,0,0
27,94.7180199,206.4423389,444.4165127,-91.43989894,351.8527783,4809.741513,0,0,0
28,206.4423389,444.4165127,-91.43989894,351.8527783,202.3099327,5012.051445,0,0,0
29,444.4165127,-91.43989894,351.8527783,202.3099327,399.5608225,5411.612268,0,0,0
30,-91.43989894,351.8527783,202.3099327,399.5608225,298.4335813,5710.045849,0,0,0
31,351.8527783,202.3099327,399.5608225,298.4335813,-44.48959204,5665.556257,0,0,0
32,202.3099327,399.5608225,298.4335813,-44.48959204,75.27709281,5740.83335,0,0,0
33,399.5608225,298.4335813,-44.48959204,75.27709281,73.18626047,5814.01961,0,0,0
34,298.4335813,-44.48959204,75.27709281,73.18626047,-244.3584777,5569.661133,0,0,0
35,-44.48959204,75.27709281,73.18626047,-244.3584777,-629.6165516,4940.044581,0,1,0
36,75.27709281,73.18626047,-244.3584777,-629.6165516,299.2058221,5239.250403,0,0,0
37,73.18626047,-244.3584777,-629.6165516,299.2058221,140.9742079,5380.224611,0,0,0
38,-244.3584777,-629.6165516,299.2058221,140.9742079,224.3178399,5604.542451,0,0,0
39,-629.6165516,299.2058221,140.9742079,224.3178399,-38.86917451,5565.673276,0,0,0
40,299.2058221,140.9742079,224.3178399,-38.86917451,-385.6116852,5180.061591,0,0,0
41,140.9742079,224.3178399,-38.86917451,-385.6116852,331.5342999,5511.595891,0,0,0
42,224.3178399,-38.86917451,-385.6116852,331.5342999,164.8662263,5676.462117,0,0,0
43,-38.86917451,-385.6116852,331.5342999,164.8662263,38.77338893,5715.235506,0,0,0
44,-385.6116852,331.5342999,164.8662263,38.77338893,-79.52653082,5635.708975,0,0,0
45,331.5342999,164.8662263,38.77338893,-79.52653082,-33.19688647,5602.512089,0,0,0
46,164.8662263,38.77338893,-79.52653082,-33.19688647,354.4161857,5956.928275,0,0,0
47,38.77338893,-79.52653082,-33.19688647,354.4161857,481.6449637,6438.573238,0,0,1
48,-79.52653082,-33.19688647,354.4161857,481.6449637,161.557101,6600.130339,0,0,0
49,-33.19688647,354.4161857,481.6449637,161.557101,33.56711198,6633.697451,0,0,0
50,354.4161857,481.6449637,161.557101,33.56711198,161.2818605,6794.979312,0,0,0
51,481.6449637,161.557101,33.56711198,161.2818605,305.0862196,7100.065531,0,0,0
