OriginalFeature0,OriginalFeature1,OriginalFeature2,OriginalFeature3,OriginalFeature4,OriginalFeature5,OriginalFeature6,OriginalFeature7,True1,True2,True3,True4,Pred1,Pred2,Pred3,Pred4
18.0,-598.9889216,-205.2025942,120.90038,-25.82045096,-328.8547899,2478.609205,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,-205.2025942,120.90038,-25.82045096,-328.8547899,-377.1266792,2101.482526,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20.0,120.90038,-25.82045096,-328.8547899,-377.1266792,325.1364694,2426.618995,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21.0,-25.82045096,-328.8547899,-377.1266792,325.1364694,234.0509522,2660.669947,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22.0,-328.8547899,-377.1266792,325.1364694,234.0509522,46.08023471,2706.750182,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23.0,-377.1266792,325.1364694,234.0509522,46.08023471,-30.18713769,2676.563045,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24.0,325.1364694,234.0509522,46.08023471,-30.18713769,-397.8387728,2278.724272,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25.0,234.0509522,46.08023471,-30.18713769,-397.8387728,328.1385667,2606.862838,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.0,46.08023471,-30.18713769,-397.8387728,328.1385667,205.0703917,2811.93323,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27.0,-30.18713769,-397.8387728,328.1385667,205.0703917,63.53054913,2875.463779,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.0,-397.8387728,328.1385667,205.0703917,63.53054913,10.49262177,2885.956401,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29.0,328.1385667,205.0703917,63.53054913,10.49262177,-162.4524687,2723.503932,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30.0,205.0703917,63.53054913,10.49262177,-162.4524687,36.0790853,2759.583018,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31.0,63.53054913,10.49262177,-162.4524687,36.0790853,364.1872015,3123.770219,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32.0,10.49262177,-162.4524687,36.0790853,364.1872015,-108.0435602,3015.726659,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33.0,-162.4524687,36.0790853,364.1872015,-108.0435602,229.7103707,3245.437029,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34.0,36.0790853,364.1872015,-108.0435602,229.7103707,369.6258104,3615.06284,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35.0,364.1872015,-108.0435602,229.7103707,369.6258104,43.63686817,3658.699708,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
36.0,-108.0435602,229.7103707,369.6258104,43.63686817,663.2828917,4321.9826,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37.0,229.7103707,369.6258104,43.63686817,663.2828917,194.2922247,4516.274824,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38.0,369.6258104,43.63686817,663.2828917,194.2922247,228.763164,4745.037988,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39.0,43.63686817,663.2828917,194.2922247,228.763164,254.3429207,4999.380909,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40.0,663.2828917,194.2922247,228.763164,254.3429207,52.65545602,5052.036365,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41.0,194.2922247,228.763164,254.3429207,52.65545602,402.9770329,5455.013398,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42.0,228.763164,254.3429207,52.65545602,402.9770329,329.4713765,5784.484775,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43.0,254.3429207,52.65545602,402.9770329,329.4713765,165.0034157,5949.48819,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44.0,52.65545602,402.9770329,329.4713765,165.0034157,-204.2643128,5745.223877,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45.0,402.9770329,329.4713765,165.0034157,-204.2643128,225.2358707,5970.459748,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46.0,329.4713765,165.0034157,-204.2643128,225.2358707,371.7561205,6342.215869,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47.0,165.0034157,-204.2643128,225.2358707,371.7561205,243.8339253,6586.049794,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
48.0,-204.2643128,225.2358707,371.7561205,243.8339253,448.4804746,7034.530269,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49.0,225.2358707,371.7561205,243.8339253,448.4804746,-48.61812723,6985.912141,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50.0,371.7561205,243.8339253,448.4804746,-48.61812723,125.6286364,7111.540778,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,243.8339253,448.4804746,-48.61812723,125.6286364,609.5643938,7721.105172,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,117.0,111.0,103.0,418.8325913,201.0685011,1042.901092,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,111.0,103.0,418.8325913,201.0685011,397.7793459,1440.680438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4.0,103.0,418.8325913,201.0685011,397.7793459,102.771904,1543.452342,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5.0,418.8325913,201.0685011,397.7793459,102.771904,175.5041365,1718.956479,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.0,201.0685011,397.7793459,102.771904,175.5041365,326.0901608,2045.04664,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7.0,397.7793459,102.771904,175.5041365,326.0901608,274.4482658,2319.494905,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8.0,102.771904,175.5041365,326.0901608,274.4482658,-184.5484839,2134.946421,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9.0,175.5041365,326.0901608,274.4482658,-184.5484839,186.9482814,2321.894703,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10.0,326.0901608,274.4482658,-184.5484839,186.9482814,101.0840343,2422.978737,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11.0,274.4482658,-184.5484839,186.9482814,101.0840343,469.8316547,2892.810392,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12.0,-184.5484839,186.9482814,101.0840343,469.8316547,321.5369334,3214.347325,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13.0,186.9482814,101.0840343,469.8316547,321.5369334,401.6711403,3616.018465,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14.0,101.0840343,469.8316547,321.5369334,401.6711403,98.61233368,3714.630799,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15.0,469.8316547,321.5369334,401.6711403,98.61233368,148.6444539,3863.275253,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16.0,321.5369334,401.6711403,98.61233368,148.6444539,473.5161785,4336.791432,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.0,401.6711403,98.61233368,148.6444539,473.5161785,95.75149698,4432.542929,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
